,title,price,link
0,"Lenovo V15 - Special Business Edition - 15.6"" FHD - AMD Ryzen 3 7320U (Beats i7-1065G7) - 16GB Memory - 1TB PCIe SSD - Military-Grade Durability - Long Battery Life - Win 11 Pro - w/WOWPC Bundle  ",649.,https://amazon.in//sspa/click?ie=UTF8&spc=MTo1NDYyNTUwMDUxOTE4OTM0OjE3Mjc1ODUzMDE6c3BfYXRmOjMwMDMxMzY5MzU0NTEwMjo6MDo6&url=%2FLenovo-V15-i7-1065G7-Military-Grade-Durability%2Fdp%2FB0D6SDNQ3P%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.BJj3Gip3fkpO1xh1vcDoNu-k0__0ALWwezBoPyugPX81lrRfSxNgyowhhgQ6eu_AK7V-zVyY41-L4Gx48cDa9hTN85orhWGbtQc5m_5i1fZFmtjLJA3zDNyjX4vH5uVuxh6GzS92P6D2hrNz5Hz-8bVJ0TMxO-bhcnrQLrb1ZjjNKwGxgcVTYdxT5mGb2PKCzV4UXfBLnbL8Iu09iRgCr0gmGfdw1TmWiM9-CoVP8-w.Kb0aBFtBnz-mLulv7dSG5CmLsdGurSH9smf2kXD453Y%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1727585300%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
1,"HP Newest 255 G10 15.6"" FHD Business Laptop, AMD Ryzen 7 7730U, 64GB RAM, 4TB PCIe SSD, Numeric Keypad, Webcam, Wi-Fi 6, HDMI, Windows 11 Pro, Black  ",843.,https://amazon.in//sspa/click?ie=UTF8&spc=MTo1NDYyNTUwMDUxOTE4OTM0OjE3Mjc1ODUzMDE6c3BfYXRmOjMwMDQyNTI5NDY3MzMwMjo6MDo6&url=%2FHP-Newest-Business-Numeric-Windows%2Fdp%2FB0D4S8KNSV%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.BJj3Gip3fkpO1xh1vcDoNu-k0__0ALWwezBoPyugPX81lrRfSxNgyowhhgQ6eu_AK7V-zVyY41-L4Gx48cDa9hTN85orhWGbtQc5m_5i1fZFmtjLJA3zDNyjX4vH5uVuxh6GzS92P6D2hrNz5Hz-8bVJ0TMxO-bhcnrQLrb1ZjjNKwGxgcVTYdxT5mGb2PKCzV4UXfBLnbL8Iu09iRgCr0gmGfdw1TmWiM9-CoVP8-w.Kb0aBFtBnz-mLulv7dSG5CmLsdGurSH9smf2kXD453Y%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1727585300%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
2,"HP Stream 14"" HD Lightweight Laptop, Intel Celeron N4120, 16GB RAM, 224GB Storage(64GB eMMC + 160GB Docking Station), Intel UHD Graphics, HD Webcam, 1 Year Office 365, WiFi, Bluetooth, Win 11s, Pink  ",296.,https://amazon.in//HP-Stream-Lightweight-Graphics-Bluetooth/dp/B0D3GS2XCZ/ref=sr_1_11?dib=eyJ2IjoiMSJ9.BJj3Gip3fkpO1xh1vcDoNu-k0__0ALWwezBoPyugPX81lrRfSxNgyowhhgQ6eu_AK7V-zVyY41-L4Gx48cDa9hTN85orhWGbtQc5m_5i1fZFmtjLJA3zDNyjX4vH5uVuxh6GzS92P6D2hrNz5Hz-8bVJ0TMxO-bhcnrQLrb1ZjjNKwGxgcVTYdxT5mGb2PKCzV4UXfBLnbL8Iu09iRgCr0gmGfdw1TmWiM9-CoVP8-w.Kb0aBFtBnz-mLulv7dSG5CmLsdGurSH9smf2kXD453Y&dib_tag=se&keywords=laptop&qid=1727585300&sr=8-11
3,"SAMSUNG Galaxy Book 4 Business Copilot AI PC Laptop 15.6"" FHD Anti-Glare Intel 10-core Ultra 7 150U (Beats i7-1335U) 16GB RAM 1TB SSD Backlit Fingerprint USB-C Long-Lasting Battery Win11 Silver  ",769.,https://amazon.in//SAMSUNG-Business-Anti-Glare-Fingerprint-Long-Lasting/dp/B0D7M9MR7T/ref=sr_1_78?dib=eyJ2IjoiMSJ9.KbiHPS7bFMegJBPm5hd4hRWJouanXvGWjKKtEtdgFHOyrfJb6or3X2N1ktgEgU4OdhWHW1YrkqNdpPWFR25ExVUrrQFXMSsRXYIu7KLe1eIXZj5s9mqM8R9A9RxElAauABRiRfVFyRoB3DSBD9wWLL9VGvxxMtZnhYtumu0MpGdw9rahco5UrzNg5Pj4y6Ouw1knvQaeE6RoiDwtZ6nff9WFV-TdKN6WQ6dV_xLrXzU.MVsVAR_LMRlGl_yHFMz-c1Ei3aEzAzAB4wXLUYQtilQ&dib_tag=se&keywords=laptop&qid=1727585312&sr=8-78
4,"Acer Aspire 5 14 Slim Laptop | 14"" WUXGA (1920 x 1200) IPS |Core i5-1335U | Intel Iris Xe Graphics | 8GB LPDDR5 | 512GB Gen 4 SSD | Wi-Fi 6E | USB4/Thunderbolt 4 | Backlit KB | A514-56M-576D, Gray  ",474.,https://amazon.in//i5-1335U-Graphics-Thunderbolt-Backlit-A514-56M-576D/dp/B0BXLY538Z/ref=sr_1_79?dib=eyJ2IjoiMSJ9.KbiHPS7bFMegJBPm5hd4hRWJouanXvGWjKKtEtdgFHOyrfJb6or3X2N1ktgEgU4OdhWHW1YrkqNdpPWFR25ExVUrrQFXMSsRXYIu7KLe1eIXZj5s9mqM8R9A9RxElAauABRiRfVFyRoB3DSBD9wWLL9VGvxxMtZnhYtumu0MpGdw9rahco5UrzNg5Pj4y6Ouw1knvQaeE6RoiDwtZ6nff9WFV-TdKN6WQ6dV_xLrXzU.MVsVAR_LMRlGl_yHFMz-c1Ei3aEzAzAB4wXLUYQtilQ&dib_tag=se&keywords=laptop&qid=1727585312&sr=8-79
5,"HP 2023 Newest Laptop, 15.6"" Touchscreen Display, Intel Core i3-1115G4 Processor(Beat i5-1035G4), 8GB RAM, 256GB SSD, WiFi, Bluetooth, Numeric Keypad, Windows 11 Home in S Mode, Silver  ",342.,https://amazon.in//HP-Laptop-Touchscreen-i3-1115G4-Processor/dp/B0CC29F72J/ref=sr_1_80?dib=eyJ2IjoiMSJ9.KbiHPS7bFMegJBPm5hd4hRWJouanXvGWjKKtEtdgFHOyrfJb6or3X2N1ktgEgU4OdhWHW1YrkqNdpPWFR25ExVUrrQFXMSsRXYIu7KLe1eIXZj5s9mqM8R9A9RxElAauABRiRfVFyRoB3DSBD9wWLL9VGvxxMtZnhYtumu0MpGdw9rahco5UrzNg5Pj4y6Ouw1knvQaeE6RoiDwtZ6nff9WFV-TdKN6WQ6dV_xLrXzU.MVsVAR_LMRlGl_yHFMz-c1Ei3aEzAzAB4wXLUYQtilQ&dib_tag=se&keywords=laptop&qid=1727585312&sr=8-80
6,"HP 2023 Newest Laptop Pavilion 17.3"" HD+ Laptop Computer, AMD Ryzen 3 7320U(Up to 4.1GHz, Beat i3-1125G4), AMD Radeon Graphics, 8GB DDR5 RAM, 256GB NVMe SSD, WiFi 6, HDMI, Numeric Keypad, Windows 11  ",399.,https://amazon.in//HP-Pavilion-Computer-i3-1125G4-Graphics/dp/B0CFHCGB8H/ref=sr_1_81?dib=eyJ2IjoiMSJ9.KbiHPS7bFMegJBPm5hd4hRWJouanXvGWjKKtEtdgFHOyrfJb6or3X2N1ktgEgU4OdhWHW1YrkqNdpPWFR25ExVUrrQFXMSsRXYIu7KLe1eIXZj5s9mqM8R9A9RxElAauABRiRfVFyRoB3DSBD9wWLL9VGvxxMtZnhYtumu0MpGdw9rahco5UrzNg5Pj4y6Ouw1knvQaeE6RoiDwtZ6nff9WFV-TdKN6WQ6dV_xLrXzU.MVsVAR_LMRlGl_yHFMz-c1Ei3aEzAzAB4wXLUYQtilQ&dib_tag=se&keywords=laptop&qid=1727585312&sr=8-81
7,"HP 15.6"" Laptop, Intel Core i5-1135G7 Processor, Intel Iris Xe Graphics, 15.6"" FHD Anti-Glare Display, Online Meeting Ready, HDMI, Wi-Fi and Bluetooth, Windows 11 Home(16GB RAM | 1TB SSD)  ",464.,https://amazon.in//HP-Laptop-i5-1135G7-Processor-Anti-Glare/dp/B0BN2FG7MJ/ref=sr_1_82?dib=eyJ2IjoiMSJ9.KbiHPS7bFMegJBPm5hd4hRWJouanXvGWjKKtEtdgFHOyrfJb6or3X2N1ktgEgU4OdhWHW1YrkqNdpPWFR25ExVUrrQFXMSsRXYIu7KLe1eIXZj5s9mqM8R9A9RxElAauABRiRfVFyRoB3DSBD9wWLL9VGvxxMtZnhYtumu0MpGdw9rahco5UrzNg5Pj4y6Ouw1knvQaeE6RoiDwtZ6nff9WFV-TdKN6WQ6dV_xLrXzU.MVsVAR_LMRlGl_yHFMz-c1Ei3aEzAzAB4wXLUYQtilQ&dib_tag=se&keywords=laptop&qid=1727585312&sr=8-82
8,"Acer Nitro 16 Gaming Laptop | AMD Ryzen 7 7840HS OctaCore CPU | NVIDIA GeForce RTX 4060 Laptop GPU | 16"" WUXGA 165Hz IPS Display | 16GB DDR5 | 1TB Gen 4 SSD | WiFi 6E | RGB Backlit KB | AN16-41-R4CY  ","1,349.",https://amazon.in//OctaCore-GeForce-Display-Backlit-AN16-41-R4CY/dp/B0CY3SS4VL/ref=sr_1_83?dib=eyJ2IjoiMSJ9.KbiHPS7bFMegJBPm5hd4hRWJouanXvGWjKKtEtdgFHOyrfJb6or3X2N1ktgEgU4OdhWHW1YrkqNdpPWFR25ExVUrrQFXMSsRXYIu7KLe1eIXZj5s9mqM8R9A9RxElAauABRiRfVFyRoB3DSBD9wWLL9VGvxxMtZnhYtumu0MpGdw9rahco5UrzNg5Pj4y6Ouw1knvQaeE6RoiDwtZ6nff9WFV-TdKN6WQ6dV_xLrXzU.MVsVAR_LMRlGl_yHFMz-c1Ei3aEzAzAB4wXLUYQtilQ&dib_tag=se&keywords=laptop&qid=1727585312&sr=8-83
9,"HP Pavilion Laptop, 15.6"" FHD Touchscreen Display, Intel Core i7-1255U Processor, 32GB RAM, 1TB SSD, HDMI, Webcam, Wi-Fi 6, Backlit KB, Fingerprint Reader, Windows 11 Home, Silver  ",790.,https://amazon.in//HP-Pavilion-Touchscreen-Processor-Fingerprint/dp/B0C54DD8PP/ref=sr_1_84?dib=eyJ2IjoiMSJ9.KbiHPS7bFMegJBPm5hd4hRWJouanXvGWjKKtEtdgFHOyrfJb6or3X2N1ktgEgU4OdhWHW1YrkqNdpPWFR25ExVUrrQFXMSsRXYIu7KLe1eIXZj5s9mqM8R9A9RxElAauABRiRfVFyRoB3DSBD9wWLL9VGvxxMtZnhYtumu0MpGdw9rahco5UrzNg5Pj4y6Ouw1knvQaeE6RoiDwtZ6nff9WFV-TdKN6WQ6dV_xLrXzU.MVsVAR_LMRlGl_yHFMz-c1Ei3aEzAzAB4wXLUYQtilQ&dib_tag=se&keywords=laptop&qid=1727585312&sr=8-84
